cd_acao_rdz;nm_empresa;setor_economico;subsetor;segmento;segmento_b3;cd_acao;cnpj
CESP;CESP;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N1;CESP6, CESP5, CESP3;60.933.603/0001-78
CEEB;COELBA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;CEEB3, CEEB5, CEEB6;15.139.629/0001-94
COCE;COELCE;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;COCE6, COCE5, COCE3;07.047.251/0001-70
CPLE;COPEL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N1;CPLE6, CPLE5, CPLE3;76.483.817/0001-20
CSRN;COSERN;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;CSRN3, CSRN5, CSRN6;08.324.196/0001-81
CPFE;CPFL ENERGIA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;CPFE3;02.429.144/0001-93
CPFG;CPFL GERACAO;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
CPFP;CPFL PIRATIN;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
CPRE;CPFL RENOVAV;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;CPRE3;08.439.659/0001-50
EBEN;EBE;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
EKTR;ELEKTRO;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;EKTR3, EKTR4;02.328.280/0001-97
ELET;ELETROBRAS;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N1;ELET3, ELET5, ELET6;00.001.180/0001-26
LIPR;ELETROPAR;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;LIPR3;01.104.937/0001-70
EMAE;EMAE;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;EMAE3, EMAE4;02.302.101/0001-42
ENBR;ENERGIAS BR;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;ENBR3;03.983.431/0001-03
ENGI;ENERGISA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;ENGI11, ENGI3, ENGI4;00.864.214/0001-06
ENMT;ENERGISA MT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;ENMT3, ENMT4;03.467.321/0001-99
ENER;ENERSUL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
ENEV;ENEVA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;ENEV3;04.423.567/0001-21
EGIE;ENGIE BRASIL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;EGIE3;02.474.103/0001-19
EQPA;EQTL PARA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;EQPA3, EQPA5, EQPA6, EQPA7;04.895.728/0001-80
EQMA;EQTLMARANHAO;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;MB;;
EQTL;EQUATORIAL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;EQTL3;03.220.438/0001-73
ESCE;ESCELSA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
FGEN;FGENERGIA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
GEPA;GER PARANAP;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;GEPA3, GEPA4;02.998.301/0001-81
ITPB;ITAPEBI;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
LIGH;LIGHT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
LIGT;LIGHT S/A;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;LIGT3;03.378.521/0001-75
NEOE;NEOENERGIA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;NEOE3;01.083.200/0001-18
OMGE;OMEGA GER;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;OMGE3;09.149.503/0001-06
PALF;PAUL F LUZ;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
PRMN;PROMAN;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;MB;PRMN3B;02.291.077/0001-93
REDE;REDE ENERGIA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;REDE3;61.584.140/0001-49
RNEW;RENOVA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;RNEW11, RNEW4, RNEW3;08.534.605/0001-74
STKF;STATKRAFT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;STKF3;00.622.416/0001-41
STEN;STO ANTONIO;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
TAEE;TAESA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;TAEE11, TAEE3, TAEE4;07.859.971/0001-30
TMPE;TERMOPE;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
TEPE;TERM. PE III;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;;;
TRPL;TRAN PAULIST;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N1;TRPL3, TRPL4;02.998.611/0001-04
UPKP;UPTICK;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;MB;UPKP3B;02.162.616/0001-94
CASN;CASAN;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;;CASN4, CASN3;82.508.433/0001-17
CSMG;COPASA;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;NM;CSMG3;17.281.106/0001-03
IGSN;IGUA SA;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;MA;IGSN3;08.159.965/0001-33
SBSP;SABESP;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;NM;SBSP3;43.776.517/0001-80
SAPR;SANEPAR;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;N2;SAPR4, SAPR3, SAPR11;76.484.013/0001-45
SNST;SANESALTO;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;;;
CEGR;CEG;UTILIDADE PÚBLICA;GÁS;GÁS;;CEGR3;33.938.119/0001-69
CGAS;COMGAS;UTILIDADE PÚBLICA;GÁS;GÁS;;CGAS3, CGAS5;61.856.571/0001-17
ABCB;ABC BRASIL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N2;ABCB4;28.195.667/0001-06
RPAD;ALFA HOLDING;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;RPAD3, RPAD5, RPAD6;17.167.396/0001-69
BRIV;ALFA INVEST;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;BRIV3, BRIV4;60.770.336/0001-65
BAZA;AMAZONIA;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;BAZA3;04.902.979/0001-44
BMGB;BANCO BMG;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N1;BMGB4;61.186.680/0001-74
BIDI;BANCO INTER;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N2;BIDI3, BIDI11, BIDI4;00.416.968/0001-01
BPAN;BANCO PAN;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N1;BPAN4;59.285.411/0001-13
BGIP;BANESE;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;BGIP3, BGIP4;13.009.717/0001-46
BEES;BANESTES;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;BEES3, BEES4;28.127.603/0001-78
BPAR;BANPARA;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;BPAR3;04.913.711/0001-08
BRSR;BANRISUL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N1;BRSR6, BRSR5, BRSR3;92.702.067/0001-96
BBDC;BRADESCO;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N1;BBDC4, BBDC3;60.746.948/0001-12
BBAS;BRASIL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;NM;BBAS11, BBAS12, BBAS3;00.000.000/0001-91
BSLI;BRB BANCO;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;BSLI4, BSLI3;00.000.208/0001-00
BPAC;BTGP BANCO;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;BPAC11, BPAC3, BPAC5;30.306.294/0001-45
IDVL;INDUSVAL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N2;IDVL3, IDVL4;61.024.352/0001-71
ITSA;ITAUSA;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N1;ITSA3, ITSA4;61.532.644/0001-15
ITUB;ITAUUNIBANCO;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N1;ITUB3, ITUB4;60.872.504/0001-23
BMEB;MERC BRASIL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;BMEB3, BMEB4;17.184.037/0001-10
BMIN;MERC INVEST;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;BMIN3, BMIN4;34.169.557/0001-72
BNBR;NORD BRASIL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;BNBR3;07.237.373/0001-20
PRBC;PARANA;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;;
PINE;PINE;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N2;PINE3, PINE4;62.144.175/0001-20
SANB;SANTANDER BR;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;;SANB4, SANB3, SANB11;90.400.888/0001-42
CRIV;ALFA FINANC;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. CRÉDITO E FINANCIAMENTO;;CRIV3, CRIV4;17.167.412/0001-13
FNCN;FINANSINOS;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. CRÉDITO E FINANCIAMENTO;;FNCN3;91.669.747/0001-92
MERC;MERC FINANC;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. CRÉDITO E FINANCIAMENTO;;MERC3, MERC4;33.040.601/0001-87
BDLS;BRADESCO LSG;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. ARRENDAMENTO MERCANTIL;;;
BVLS;BV LEASING;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. ARRENDAMENTO MERCANTIL;;;
DBEN;DIBENS LSG;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. ARRENDAMENTO MERCANTIL;;;
BZRS;BRAZIL REALT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;;
BSCS;BRAZILIAN SC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;;
BRCS;BRC SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;;
WTVR;BRPR 56 SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;;
CBSC;CIBRASEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;;
ECOA;ECO SEC AGRO;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;MB;;
GAFL;GAIA AGRO;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;GAFL-CRA02B0;14.876.090/0001-93
GAIA;GAIA SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;MB;;
OCTS;OCTANTE SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;;
PDGS;PDG SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;;
PLSC;POLO CAP SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;;
RBRA;RBCAPITALRES;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;MB;;
APCS;TRUESEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;APCS-CRI05B0;12.130.744/0001-00
VERT;VERTCIASEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;;
WTPI;WTORRE PIC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;;;
BNDP;BNDESPAR;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;MB;;
BFRE;BRAZILIAN FR;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;;;
GPIV;GP INVEST;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;DR3;GPIV33;07.857.850/0001-50
IDNT;IDEIASNET;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;;IDNT3;02.365.069/0001-44
PPLA;PPLA;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;DR3;PPLA11;15.073.274/0001-88
B3SA;B3;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;SERVIÇOS FINANCEIROS DIVERSOS;NM;B3SA3;09.346.601/0001-25
CIEL;CIELO;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;SERVIÇOS FINANCEIROS DIVERSOS;NM;CIEL3;01.027.058/0001-91
BRGE;ALFA CONSORC;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;;BRGE11, BRGE12, BRGE3, BRGE5, BRGE6, BRGE7, BRGE8;17.193.806/0001-46
BBSE;BBSEGURIDADE;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;NM;BBSE3;17.344.597/0001-94
IRBR;IRBBRASIL RE;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;NM;IRBR3;33.376.989/0001-91
PSSA;PORTO SEGURO;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;NM;PSSA3;02.149.205/0001-69
CSAB;SEG AL BAHIA;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;;CSAB3, CSAB4;15.144.017/0001-90
SULA;SUL AMERICA;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;N2;SULA11, SULA3, SULA4;29.978.814/0001-87
APER;ALPER S.A.;FINANCEIRO;PREVIDÊNCIA E SEGUROS;CORRETORAS DE SEGUROS;NM;APER3;11.721.921/0001-60
WIZS;WIZ S.A.;FINANCEIRO;PREVIDÊNCIA E SEGUROS;CORRETORAS DE SEGUROS;NM;WIZS3;42.278.473/0001-03
ALSO;ALIANSCSONAE;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;ALSO3;05.878.397/0001-32
BRML;BR MALLS PAR;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;BRML3;06.977.745/0001-91
BRPR;BR PROPERT;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;BRPR3;06.977.751/0001-49
CORR;COR RIBEIRO;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;;CORR3, CORR4;15.101.405/0001-93
CCPR;CYRE COM-CCP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;CCPR3;08.801.621/0001-86
GSHP;GENERALSHOPP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;GSHP3;08.764.621/0001-53
HBTS;HABITASUL;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;;HBTS3, HBTS5, HBTS6;87.762.563/0001-03
IGBR;IGB S/A;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;;IGBR3;43.185.362/0001-07
IGTA;IGUATEMI;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;IGTA3;51.218.147/0001-93
JPSA;JEREISSATI;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;;JPSA3;60.543.816/0001-93
LOGG;LOG COM PROP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;LOGG3;09.041.168/0001-10
MNZC;MENEZES CORT;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;MB;MNZC3B;02.664.042/0001-52
MULT;MULTIPLAN;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;N2;MULT3;07.816.890/0001-53
SCAR;SAO CARLOS;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;SCAR3;29.780.061/0001-09
BBRK;BR BROKERS;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;INTERMEDIAÇÃO IMOBILIÁRIA;NM;BBRK3;08.613.550/0001-98
LPSB;LOPES BRASIL;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;INTERMEDIAÇÃO IMOBILIÁRIA;NM;LPSB3;08.078.847/0001-09
MOAR;MONT ARANHA;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;;MOAR3;33.102.476/0001-92
PEAB;PAR AL BAHIA;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;;PEAB3, PEAB4;01.938.783/0001-11
SPRI;SPRINGER;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;;SPRI3, SPRI5, SPRI6;92.929.520/0001-00
CTBA;CEPAC - CTBA;FINANCEIRO;OUTROS TÍTULOS;OUTROS TÍTULOS;MB;;
MCRJ;CEPAC - MCRJ;FINANCEIRO;OUTROS TÍTULOS;OUTROS TÍTULOS;MB;;
PMSP;CEPAC - PMSP;FINANCEIRO;OUTROS TÍTULOS;OUTROS TÍTULOS;MB;;
QVQP;524 PARTICIP;OUTROS;OUTROS;OUTROS;MB;QVQP3B;01.851.771/0001-55
ALEF;ALEF S/A;OUTROS;OUTROS;OUTROS;MB;ALEF3B;02.217.319/0001-07
ATOM;ATOMPAR;OUTROS;OUTROS;OUTROS;;ATOM3;00.359.742/0001-08
BETP;BETAPART;OUTROS;OUTROS;OUTROS;MB;BETP3B;02.762.124/0001-30
CABI;CABINDA PART;OUTROS;OUTROS;OUTROS;MB;CABI3B;04.030.182/0001-02
CACO;CACONDE PART;OUTROS;OUTROS;OUTROS;MB;CACO3B;04.031.213/0001-31
CPTP;CAPITALPART;OUTROS;OUTROS;OUTROS;MB;;
MAPT;CEMEPE;OUTROS;OUTROS;OUTROS;;MAPT4, MAPT3;93.828.986/0001-73
CMSA;CIMS;OUTROS;OUTROS;OUTROS;;CMSA3, CMSA4;00.272.185/0001-93
OPGM;GAMA PART;OUTROS;OUTROS;OUTROS;MB;OPGM3B;02.796.775/0001-40
FIGE;INVEST BEMGE;OUTROS;OUTROS;OUTROS;;FIGE3, FIGE4;01.548.981/0001-79
JBDU;J B DUARTE;OUTROS;OUTROS;OUTROS;;JBDU3, JBDU4;60.637.238/0001-54
SPRT;LONGDIS;OUTROS;OUTROS;OUTROS;MB;;
MGIP;MGI PARTICIP;OUTROS;OUTROS;OUTROS;;;
OPHE;OPPORT ENERG;OUTROS;OUTROS;OUTROS;MB;OPHE3B;02.318.346/0001-68
PPAR;POLPAR;OUTROS;OUTROS;OUTROS;;PPAR3;59.789.545/0001-71
PRPT;PROMPT PART;OUTROS;OUTROS;OUTROS;MB;PRPT3B;02.992.449/0001-09
SLCT;SELECTPART;OUTROS;OUTROS;OUTROS;MB;SLCT3B;02.604.860/0001-60
OPSE;SUDESTE S/A;OUTROS;OUTROS;OUTROS;MB;OPSE3B;02.062.747/0001-08
OPTS;SUL 116 PART;OUTROS;OUTROS;OUTROS;MB;OPTS3B;01.957.772/0001-89
RRRP;3R PETROLEUM;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO;NM;RRRP3;12.091.809/0001-55
AERI;AERIS;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NM;AERI3;12.528.708/0001-07
